"Wavelength","Value"
780.64,1.3744
781.49,1.3744
782.35,1.3743
783.2,1.3743
784.06,1.3743
784.91,1.3743
785.76,1.3743
786.62,1.3742
787.47,1.3742
788.32,1.3742
789.17,1.3742
790.03,1.3742
790.88,1.3741
791.73,1.3741
792.58,1.3741
793.43,1.3741
794.28,1.3741
795.13,1.374
795.98,1.374
796.82,1.374
797.67,1.374
798.52,1.374
799.37,1.374
