Wavelength,Reading
733.06,0.32058
733.94,0.32038
734.81,0.32032
735.69,0.31983
736.56,0.31971
737.43,0.32019
738.31,0.3196
739.18,0.31828
740.05,0.31755
740.92,0.3165
741.79,0.31572
742.67,0.31496
743.54,0.31292
744.41,0.31438
745.28,0.31525
746.15,0.31619
747.02,0.31686
747.89,0.31779
748.75,0.31718
749.62,0.31611
750.49,0.31586
751.36,0.31562
752.23,0.3167
753.09,0.31675
753.96,0.31423
754.83,0.31176
755.69,0.31151
756.56,0.31203
757.42,0.31178
758.29,0.31288
759.15,0.31418
760.01,0.31434
760.88,0.31297
761.74,0.31295
762.6,0.3144
763.47,0.31348
764.33,0.3118
765.19,0.31136
766.05,0.31158
766.91,0.313
767.78,0.31207
768.64,0.31209
769.5,0.31379
770.36,0.31488
771.21,0.31504
772.07,0.31359
772.93,0.31351
773.79,0.31131
774.65,0.31071
775.51,0.31095
776.36,0.31126
777.22,0.31017
778.08,0.31092
778.93,0.30927
779.79,0.30847
780.64,0.30894
781.5,0.30956
782.35,0.31041
783.21,0.311
784.06,0.31081
784.92,0.31047
785.77,0.30931
786.62,0.30891
787.47,0.30843
788.33,0.3089
789.18,0.3088
790.03,0.3101
790.88,0.31097
791.73,0.31003
792.58,0.30879
793.43,0.30859
794.28,0.30837
795.13,0.31008
795.98,0.31214
796.83,0.31103
797.68,0.31193
798.53,0.31177
799.37,0.31107
800.22,0.30885
801.07,0.30955
801.91,0.3077
802.76,0.30578
803.61,0.30694
804.45,0.30767
805.3,0.30793
806.14,0.30946
806.98,0.31062
807.83,0.31082
808.67,0.30981
809.52,0.31072
810.36,0.31007
811.2,0.30943
812.04,0.3083
812.89,0.3076
813.73,0.30801
814.57,0.30763
815.41,0.30967
816.25,0.31153
817.09,0.30928
817.93,0.30853
818.77,0.30706
819.61,0.30706
820.45,0.30613
821.28,0.30725
822.12,0.30715
822.96,0.30736
823.8,0.30726
824.63,0.30807
825.47,0.30913
826.31,0.30864
827.14,0.30978
827.98,0.30823
828.81,0.30799
829.65,0.30523
830.48,0.30402
831.31,0.30362
832.15,0.30605
832.98,0.30508
833.81,0.30736
834.65,0.30724
835.48,0.30531
836.31,0.30589
837.14,0.3029
837.97,0.30412
838.8,0.30283
839.63,0.30387
840.46,0.30382
841.29,0.30413
842.12,0.30686
842.95,0.3064
843.78,0.30585
844.61,0.30651
845.44,0.30703
846.26,0.30693
847.09,0.30555
847.92,0.30394
848.74,0.30437
849.57,0.30473
850.4,0.30578
851.22,0.30651
852.05,0.30569
852.87,0.30454
853.69,0.30485
854.52,0.3035
855.34,0.30364
856.17,0.30444
856.99,0.3012
857.81,0.30373
858.63,0.30562
